id,date,time,likes,comments
e/000d52aacd69433fb7fb2d8646237a66,2009-06-27,10:43:38,1,1
e/002c4dd277674300bebc9d95d8e0cb3c,2009-07-14,16:40:30,0,0
e/0041a05992ba441c99ba777c207aae66,2009-05-29,16:15:39,1,2
e/00520f082bd842c1a4659eb5ca409190,2009-08-17,19:04:48,10,12
e/005faf774b7840d38bb5008cf290ce9c,2009-04-12,23:06:00,0,0
e/006184eb4f394a28962a9f6dfa5c0ded,2009-02-04,09:21:59,3,10
e/006f092440b64ac89bc9ac9069e33783,2009-05-05,02:50:12,5,3
e/007194e0f47f4d63adfc7e9be2c4ed09,2009-07-10,10:58:16,0,1
e/00819d894d6d4a1f89336669989f76fe,2009-05-15,18:50:09,3,1
e/009a2281ca7e42e5a37cff632a0035c8,2009-02-25,01:49:47,1,1
e/00b2beeddcc2466f8f648765ccfc8041,2009-06-03,15:08:26,0,7
e/00b72bb521b9492180ba490d11c1dba2,2009-05-04,22:02:32,0,2
e/00d68e1edbd54c3eba091d2399e48012,2009-01-03,01:02:36,6,8
e/012de8c2d2944951863eee1359b47290,2009-05-08,22:32:09,0,1
e/01510abf8f7f4c789a6e5f51aeae98a4,2009-03-10,10:32:43,4,1
e/01592044694e466bb4c00f0ea6a98492,2009-07-25,19:13:19,2,1
e/019822bbf9234760ab33a4c0f27a5fbe,2009-03-24,23:29:01,0,0
e/019d080dad5d4c72868fbb92a1e36e19,2009-11-04,22:26:44,2,1
e/01a1dbe2bf2c4da6bd4f6a4c7d4809a0,2009-08-24,18:20:10,1,5
e/01a9e6c1f0c348259cd0081ce4f0c48c,2009-05-28,09:44:00,5,4
e/01cae11208044e559ddedf88c2e94634,2009-02-20,08:55:10,3,0
e/01fcecc0121f42ce867054ef9dbc7139,2009-02-28,23:07:39,16,9
e/020e1ba90f194c38a75f857ef07f0324,2009-02-16,16:14:10,3,3
e/02211b07a8404721949f44b57d5c54a1,2009-07-06,21:03:24,4,1
e/0243259131db4ce68936bf56f92139b3,2009-07-17,03:38:05,3,1
e/0256670cc92347e1b5ff4afedc42e69b,2009-05-31,12:00:43,2,1
e/0269bc57b5834d52a5948218d492c697,2009-03-23,09:47:27,25,12
e/026cfb1a703a45a48d3938a943b073eb,2009-11-30,08:51:16,0,0
e/027671fae5f54bfb8b759727703f6672,2009-07-14,09:59:02,0,0
e/027d1b84f66e49649a767645ee7d418e,2009-11-12,19:54:37,0,3
e/027d349ac312482fa727ba04ebfaee79,2009-03-07,04:40:50,0,0
e/02836fe698794596babe70ce2fa66b06,2009-12-16,21:04:32,2,0
e/02b65086184e42408e5b01a23bf7d767,2009-02-01,22:56:13,0,0
e/02efbb7e7a81454a8b346140abc10f54,2009-10-02,19:11:01,0,0
e/030d99fd8fae41cebc4affddad2d801c,2009-05-12,18:37:53,1,0
e/032f72f2d60347a391cc7871abeee39c,2009-02-09,05:31:48,4,1
e/0332b81630604505b1c3c4972f88da29,2009-08-04,15:33:50,2,1
e/0338be637f0641de8b7cc5651f240d6a,2009-05-26,11:56:32,1,1
e/036e04da0bd148e68e1e5e35f725bc67,2009-11-11,12:53:14,1,0
e/0394d7c32c6a4607af0b8d635b2ce000,2009-08-30,23:57:15,0,0
e/03ab719cbb744a17b6df45955cb84d39,2009-10-22,20:14:18,11,5
e/03d41c5d1a684420b739ca0bd8193094,2009-08-17,04:52:40,0,1
e/03f8335949f1430493c8e6d21e9680ae,2009-04-10,18:39:29,1,2
e/03fdb03e40454f0f96e26f7461db791d,2009-09-19,15:16:21,19,7
e/0402efa1b45847aba93d38557a5d386a,2009-02-25,15:44:00,14,4
e/04064f1e216646aab4e2646c238ad2aa,2009-04-07,14:24:03,0,1
e/041cef6ba8f04171b3cc44e5a714722c,2009-06-04,00:04:27,0,0
e/0422adce524548418c66561b98dc197f,2009-10-11,17:39:52,5,0
e/0463a234383b47be8ad9ddfca9f2b97f,2009-06-13,18:03:41,3,8
e/046684f5417c47d8a6433a0827b5b0eb,2009-12-03,17:09:54,20,4
e/046f99bcda024300835bddb28a04546b,2009-04-05,23:44:39,8,2
e/04c4371891bd4749843fd7a442c849a1,2009-06-16,03:21:40,1,0
e/04ce10e4dd794be4b58442e1c5d85d9a,2009-10-17,00:14:19,5,2
e/04e9fe6919714440a377d60e5daf9a46,2009-05-03,10:06:26,14,21
e/04efcbe3e7184548a8b61d70fe0b90f6,2009-06-02,19:09:32,0,1
e/04f48959712148ce9830ed15162b2b60,2009-05-04,22:46:07,3,16
e/050b2307280e41f2ad9293b504e5ee83,2009-11-27,13:24:09,1,0
e/050d2b80f4c6451e8045403f7dafdcfe,2009-01-31,02:34:27,0,0
e/0544d3976f85403c8b58b09836c14662,2009-04-08,02:04:01,0,3
e/055dddd4490944d49f80d1aa765994bc,2009-05-01,16:03:33,0,0
e/057395db6821456182fe898d46d8f633,2009-01-20,23:04:49,0,0
e/05840fd795474bd991a90422cf14ecf3,2009-04-25,01:59:18,2,1
e/05adaeed9da044fa9d791b8d869a8529,2009-01-30,06:54:36,8,3
e/05eee9f4809842efbac0144dac5d3770,2009-05-25,13:59:29,0,5
e/0629368d969e436b9f6f5b7872e8289b,2009-01-14,14:14:28,2,1
e/066a6bd9d8194241b47bf318c387af28,2009-09-01,18:53:16,3,5
e/0672eab294674ac59298e2c03df2f93d,2009-05-07,17:54:04,0,0
e/069353dbc892404f96c92687f2fb93bc,2009-07-02,14:04:48,4,2
e/06c8457c172743c6810519c0d52a5a51,2009-01-12,19:05:44,0,1
e/06ce0a6349ea4e34a760110006650d7f,2009-12-03,14:31:33,0,1
e/06db8f9aaf7c45b082dc3a7ef4393091,2009-05-16,02:08:30,4,1
e/06e37314717e4817bbacb60700a685f9,2009-05-17,18:18:51,0,0
e/06e92e77028d41aaaa3893a5ed1bf259,2009-04-23,00:11:00,5,1
e/06f9569153904cd59b9aa61d3efe236b,2009-07-16,03:42:56,3,1
e/06fad95ee2164bdeacf07dccb3f02a31,2009-04-04,16:57:19,0,1
e/073018b8cd6147a7932e559a50bc1a76,2009-07-07,09:21:29,9,4
e/07579a8a2fd442a2ba1454cd3d6256af,2009-11-02,12:51:24,0,0
e/07686e5e9f6842f895628333dfb9f052,2009-11-06,13:45:38,0,9
e/079b1f672e8e4364a751484dc5d5e9f7,2009-12-03,00:02:57,1,0
e/079ec40eca5142149cae3c56112000a8,2009-07-07,19:15:33,4,5
e/07e6a1b4a7224643a065cf1969f15403,2009-10-20,20:26:42,2,0
e/07e9aeb0f584443fa4b34ce7dd182793,2009-03-24,18:02:17,1,3
e/07ee4444e0d14cd19a47b0e6bde0b7a2,2009-03-27,02:51:28,1,6
e/07fe3250c86d484bbf37b6400b61c1cb,2009-07-15,17:55:16,5,0
e/08350b833bc84ca493aa3c274b2da3a7,2009-02-13,03:24:22,6,14
e/08536938b68744068ad651a42981b1fc,2009-09-06,23:13:14,11,2
e/08573cd45e0f401883f73476ac443871,2009-11-11,17:49:19,0,0
e/088e7bf0fc654b98ac6838b6dcf18d45,2009-10-01,13:26:51,2,2
e/088ed9af17024d068393470945ad282a,2009-10-06,08:29:07,0,0
e/08bd5c0f2dd34caba8a56a50fa8086d1,2009-05-14,13:41:05,0,0
e/08bfb4eff2e941b19213ef5370ee591e,2009-11-30,17:57:42,0,0
e/08ffd810c9f4457ab45dc8729166a31e,2009-05-20,09:02:40,0,5
e/09497c37396a4f8ebc1ea75aa399549d,2009-03-27,20:28:12,5,3
e/0966a3793e964d45ab05ba21dc041cab,2009-09-22,01:17:28,3,0
e/09a0fa6f45c64e989a5e3fc3a87329ca,2009-09-11,18:21:56,3,1
e/09d7c4166b65471e90c5a316980be3ee,2009-05-05,23:37:32,9,4
e/09ed3a04aa7a4266a4fe9b7cc024699e,2009-07-14,17:10:21,0,1
e/0a0a8de65ea447bab9bfe2dfd7b6fcba,2009-01-15,11:17:15,1,1
e/0a35f00189c2419185ebf9fefaaeca1f,2009-03-29,22:30:20,0,1
e/0a7e0e16ddfe43cabec1590e10355e9e,2009-06-24,14:29:17,0,2
e/0a8fd5719f0f44e5ba49b36c304cff3b,2009-05-22,16:45:37,2,0
e/0aaa954757b24089a1ff0bbe479c4647,2009-09-28,12:07:26,1,2
e/0ad27fb505c245dba20f49e442d91804,2009-04-02,12:29:32,1,2
e/0ad5e32883e0400dbebd65d74b7534e1,2009-08-22,14:01:13,2,1
e/0aedab2d2e494fc79a54a49940c8cb32,2009-05-21,17:14:53,7,2
e/0afea04ae36c4dcda94d36e2aba5b7ad,2009-05-04,17:09:45,1,1
e/0bd99f2d998940f4bf7a20f8a93318ff,2009-02-23,23:24:10,0,7
e/0bf2b268e35946b3a05a7ce1206e3f9c,2009-06-08,17:29:15,1,0
e/0c454d96f4b34fe884c80e153cbbea50,2009-12-08,22:08:39,8,5
e/0c4d5ad2144f4f29b7fede4186f7eaad,2009-06-02,06:46:58,10,3
e/0c66ee1049484248961c810696e056ee,2009-07-09,21:46:12,3,2
